"ts","throughput_bps"
2026-06-10 09:15:00.000 +0700,23060464
2026-06-10 09:15:01.000 +0700,22898960
2026-06-10 09:15:02.000 +0700,25471488
2026-06-10 09:15:03.000 +0700,4743504
2026-06-10 09:15:04.000 +0700,21422352
2026-06-10 09:15:05.000 +0700,24375568
2026-06-10 09:15:06.000 +0700,26867344
2026-06-10 09:15:07.000 +0700,25817568
2026-06-10 09:15:08.000 +0700,25852176
2026-06-10 09:15:09.000 +0700,23637264
2026-06-10 09:15:10.000 +0700,25148480
2026-06-10 09:15:11.000 +0700,25263840
2026-06-10 09:15:12.000 +0700,25309984
2026-06-10 09:15:13.000 +0700,25194624
2026-06-10 09:15:14.000 +0700,26578944
2026-06-10 09:15:15.000 +0700,24514000
2026-06-10 09:15:16.000 +0700,24514000
2026-06-10 09:15:17.000 +0700,24144848
2026-06-10 09:15:18.000 +0700,25033120
2026-06-10 09:15:19.000 +0700,24848544
2026-06-10 09:15:20.000 +0700,24929296
2026-06-10 09:15:21.000 +0700,26440512
2026-06-10 09:15:22.000 +0700,25956000
2026-06-10 09:15:23.000 +0700,16634912
2026-06-10 09:15:24.000 +0700,25090800
2026-06-10 09:15:25.000 +0700,26509728
2026-06-10 09:15:26.000 +0700,24894688
2026-06-10 09:15:27.000 +0700,23879520
2026-06-10 09:15:28.000 +0700,30743440
2026-06-10 09:15:29.000 +0700,12311120
2026-06-10 09:15:30.000 +0700,25402272
2026-06-10 09:15:31.000 +0700,26694304
2026-06-10 09:15:32.000 +0700,27524896
2026-06-10 09:15:33.000 +0700,27305712
2026-06-10 09:15:34.000 +0700,26059824
2026-06-10 09:15:35.000 +0700,26636624
2026-06-10 09:15:36.000 +0700,24202528
2026-06-10 09:15:37.000 +0700,25275376
2026-06-10 09:15:38.000 +0700,25275376
2026-06-10 09:15:39.000 +0700,24986976
2026-06-10 09:15:40.000 +0700,25113872
2026-06-10 09:15:41.000 +0700,26521264
2026-06-10 09:15:42.000 +0700,26532800
2026-06-10 09:15:43.000 +0700,24929296
2026-06-10 09:15:44.000 +0700,26844272
2026-06-10 09:15:45.000 +0700,25021584
2026-06-10 09:15:46.000 +0700,23002784
2026-06-10 09:15:47.000 +0700,25252304
2026-06-10 09:15:48.000 +0700,24444784
2026-06-10 09:15:49.000 +0700,27398000
2026-06-10 09:15:50.000 +0700,26198256
2026-06-10 09:15:51.000 +0700,25632992
2026-06-10 09:15:52.000 +0700,27455680
2026-06-10 09:15:53.000 +0700,25932928
2026-06-10 09:15:54.000 +0700,27444144
2026-06-10 09:15:55.000 +0700,25863712
2026-06-10 09:15:56.000 +0700,16484944
2026-06-10 09:15:57.000 +0700,15608208
2026-06-10 09:15:58.000 +0700,19438160
2026-06-10 09:15:59.000 +0700,26163648
2026-06-10 09:16:00.000 +0700,30974160
2026-06-10 09:16:01.000 +0700,460256
2026-06-10 09:16:02.000 +0700,31227952
2026-06-10 09:16:04.000 +0700,29693664
2026-06-10 09:16:05.000 +0700,31054912
2026-06-10 09:16:06.000 +0700,31020304
2026-06-10 09:16:07.000 +0700,27178816
2026-06-10 09:16:08.000 +0700,28251664
2026-06-10 09:16:09.000 +0700,31839360
2026-06-10 09:16:10.000 +0700,31954720
2026-06-10 09:16:11.000 +0700,27709472
2026-06-10 09:16:13.000 +0700,30224320
2026-06-10 09:16:14.000 +0700,30904944
2026-06-10 09:16:16.000 +0700,29474480
2026-06-10 09:16:17.000 +0700,29924384
2026-06-10 09:16:18.000 +0700,28274736
2026-06-10 09:16:20.000 +0700,29912848
2026-06-10 09:16:21.000 +0700,27455680
2026-06-10 09:16:22.000 +0700,28655424
2026-06-10 09:16:24.000 +0700,29047648
2026-06-10 09:16:25.000 +0700,28343952
2026-06-10 09:16:26.000 +0700,27674864
2026-06-10 09:16:28.000 +0700,26648160
2026-06-10 09:16:29.000 +0700,30408896
2026-06-10 09:16:31.000 +0700,29139936
2026-06-10 09:16:32.000 +0700,28020944
2026-06-10 09:16:33.000 +0700,28124768
2026-06-10 09:16:35.000 +0700,26636624
2026-06-10 09:16:36.000 +0700,29174544
2026-06-10 09:16:37.000 +0700,28078624
2026-06-10 09:16:38.000 +0700,26832736
2026-06-10 09:16:39.000 +0700,27051920
2026-06-10 09:16:41.000 +0700,28436240
2026-06-10 09:16:42.000 +0700,27478752
2026-06-10 09:16:43.000 +0700,28436240
2026-06-10 09:16:45.000 +0700,27905584
2026-06-10 09:16:46.000 +0700,30097424
2026-06-10 09:16:47.000 +0700,28020944
2026-06-10 09:16:48.000 +0700,30593472
2026-06-10 09:16:50.000 +0700,27132672
2026-06-10 09:16:51.000 +0700,29797488
2026-06-10 09:16:52.000 +0700,29024576
2026-06-10 09:16:53.000 +0700,31320240
2026-06-10 09:16:54.000 +0700,27847904
2026-06-10 09:16:55.000 +0700,29866704
2026-06-10 09:16:56.000 +0700,30374288
2026-06-10 09:16:57.000 +0700,20720864
2026-06-10 09:16:58.000 +0700,29289904
2026-06-10 09:16:59.000 +0700,29612912
2026-06-10 09:17:00.000 +0700,28886144
2026-06-10 09:17:01.000 +0700,32150832
2026-06-10 09:17:02.000 +0700,29878240
2026-06-10 09:17:03.000 +0700,28332416
2026-06-10 09:17:04.000 +0700,32139296
2026-06-10 09:17:05.000 +0700,28447776
2026-06-10 09:17:06.000 +0700,27836368
2026-06-10 09:17:07.000 +0700,28009408
2026-06-10 09:17:08.000 +0700,27917120
2026-06-10 09:17:09.000 +0700,28240128
2026-06-10 09:17:10.000 +0700,23902592
2026-06-10 09:17:11.000 +0700,22379840
2026-06-10 09:17:12.000 +0700,22610560
2026-06-10 09:17:13.000 +0700,20545616
2026-06-10 09:17:14.000 +0700,20937840
2026-06-10 09:17:15.000 +0700,24629360
2026-06-10 09:17:16.000 +0700,26648160
2026-06-10 09:17:17.000 +0700,30305072
2026-06-10 09:17:18.000 +0700,27651792
2026-06-10 09:17:19.000 +0700,28909216
2026-06-10 09:17:20.000 +0700,25875248
2026-06-10 09:17:21.000 +0700,26694304
2026-06-10 09:17:22.000 +0700,19382688
2026-06-10 09:17:23.000 +0700,24975440
2026-06-10 09:17:24.000 +0700,13750912
2026-06-10 09:17:25.000 +0700,33477472
2026-06-10 09:17:26.000 +0700,11582144
2026-06-10 09:17:27.000 +0700,26959632
2026-06-10 09:17:28.000 +0700,23637264
2026-06-10 09:17:29.000 +0700,29186080
2026-06-10 09:17:30.000 +0700,26717376
2026-06-10 09:17:31.000 +0700,26382832
2026-06-10 09:17:32.000 +0700,27559504
2026-06-10 09:17:33.000 +0700,24986976
2026-06-10 09:17:34.000 +0700,23348864
2026-06-10 09:17:35.000 +0700,26532800
2026-06-10 09:17:36.000 +0700,25852176
2026-06-10 09:17:37.000 +0700,26175184
2026-06-10 09:17:38.000 +0700,28401632
2026-06-10 09:17:39.000 +0700,28090160
2026-06-10 09:17:40.000 +0700,26463584
2026-06-10 09:17:41.000 +0700,26036752
2026-06-10 09:17:42.000 +0700,23198896
2026-06-10 09:17:43.000 +0700,19151232
2026-06-10 09:17:44.000 +0700,25252304
2026-06-10 09:17:45.000 +0700,24283280
2026-06-10 09:17:46.000 +0700,23464224
2026-06-10 09:17:47.000 +0700,25552240
2026-06-10 09:17:48.000 +0700,25932928
2026-06-10 09:17:49.000 +0700,23498832
2026-06-10 09:17:50.000 +0700,24837008
2026-06-10 09:17:51.000 +0700,25275376
2026-06-10 09:17:52.000 +0700,24306352
