"ts","throughput_bps"
2026-06-13 19:28:34.000 +0700,40724288
2026-06-13 19:28:33.000 +0700,38276448
2026-06-13 19:28:32.000 +0700,37757328
2026-06-13 19:28:31.000 +0700,38299520
2026-06-13 19:28:30.000 +0700,38287984
2026-06-13 19:28:29.000 +0700,38357200
2026-06-13 19:28:28.000 +0700,38068800
2026-06-13 19:28:27.000 +0700,38737888
2026-06-13 19:28:26.000 +0700,38507168
2026-06-13 19:28:25.000 +0700,19357408
2026-06-13 19:28:24.000 +0700,38437952
2026-06-13 19:28:23.000 +0700,38980144
2026-06-13 19:28:22.000 +0700,38507168
2026-06-13 19:28:21.000 +0700,38853248
2026-06-13 19:28:20.000 +0700,38276448
2026-06-13 19:28:19.000 +0700,42200896
2026-06-13 19:28:18.000 +0700,39314688
2026-06-13 19:28:17.000 +0700,40029920
2026-06-13 19:28:16.000 +0700,40041456
2026-06-13 19:28:15.000 +0700,40064528
2026-06-13 19:28:14.000 +0700,39983776
2026-06-13 19:28:13.000 +0700,39764592
2026-06-13 19:28:12.000 +0700,38610992
2026-06-13 19:28:11.000 +0700,18284928
2026-06-13 19:28:10.000 +0700,43907856
2026-06-13 19:28:09.000 +0700,38380272
2026-06-13 19:28:08.000 +0700,38553312
2026-06-13 19:28:07.000 +0700,37618896
2026-06-13 19:28:06.000 +0700,38518704
2026-06-13 19:28:05.000 +0700,38138016
2026-06-13 19:28:04.000 +0700,38380272
2026-06-13 19:28:03.000 +0700,37411248
2026-06-13 19:28:02.000 +0700,3562880
2026-06-13 19:28:01.000 +0700,2744368
2026-06-13 19:28:00.000 +0700,3185856
2026-06-13 19:27:59.000 +0700,2123552
2026-06-13 19:27:58.000 +0700,3185328
2026-06-13 19:27:57.000 +0700,1061248
2026-06-13 19:27:56.000 +0700,3185328
2026-06-13 19:27:55.000 +0700,3186912
2026-06-13 19:27:54.000 +0700,3186384
2026-06-13 19:27:53.000 +0700,3186912
2026-06-13 19:27:52.000 +0700,2123552
2026-06-13 19:27:51.000 +0700,3186912
2026-06-13 19:27:50.000 +0700,2124080
2026-06-13 19:27:49.000 +0700,1890288
2026-06-13 19:27:48.000 +0700,2359984
2026-06-13 19:27:47.000 +0700,3186912
2026-06-13 19:27:46.000 +0700,2123552
2026-06-13 19:27:45.000 +0700,3187440
2026-06-13 19:27:44.000 +0700,2126192
2026-06-13 19:27:43.000 +0700,3191136
2026-06-13 19:27:42.000 +0700,2439728
2026-06-13 19:27:41.000 +0700,2880768
2026-06-13 19:27:40.000 +0700,3195360
2026-06-13 19:27:39.000 +0700,2130416
2026-06-13 19:27:38.000 +0700,3195360
2026-06-13 19:27:37.000 +0700,2129888
2026-06-13 19:27:36.000 +0700,3195360
2026-06-13 19:27:35.000 +0700,2130416
2026-06-13 19:27:34.000 +0700,3196944
2026-06-13 19:27:33.000 +0700,3198528
2026-06-13 19:27:32.000 +0700,2131472
2026-06-13 19:27:31.000 +0700,3199056
2026-06-13 19:27:30.000 +0700,2132000
2026-06-13 19:27:29.000 +0700,3198528
2026-06-13 19:27:28.000 +0700,5105328
2026-06-13 19:27:27.000 +0700,30898176
2026-06-13 19:27:26.000 +0700,23371936
2026-06-13 19:27:25.000 +0700,36511440
2026-06-13 19:27:24.000 +0700,38668672
2026-06-13 19:27:23.000 +0700,45671024
2026-06-13 19:27:22.000 +0700,32393088
2026-06-13 19:27:21.000 +0700,43352288
2026-06-13 19:27:20.000 +0700,38576384
2026-06-13 19:27:19.000 +0700,31781680
2026-06-13 19:27:18.000 +0700,46144736
2026-06-13 19:27:17.000 +0700,38414880
2026-06-13 19:27:16.000 +0700,38207232
2026-06-13 19:27:15.000 +0700,38449488
2026-06-13 19:27:14.000 +0700,38334128
2026-06-13 19:27:13.000 +0700,27951728
2026-06-13 19:27:12.000 +0700,38668672
2026-06-13 19:27:11.000 +0700,48232016
2026-06-13 19:27:10.000 +0700,25149952
2026-06-13 19:27:09.000 +0700,40006848
2026-06-13 19:27:08.000 +0700,40064528
2026-06-13 19:27:07.000 +0700,39776128
2026-06-13 19:27:06.000 +0700,38853248
2026-06-13 19:27:05.000 +0700,38576384
2026-06-13 19:27:04.000 +0700,38507168
2026-06-13 19:27:03.000 +0700,38726352
2026-06-13 19:27:02.000 +0700,38564848
2026-06-13 19:27:01.000 +0700,38253376
2026-06-13 19:27:00.000 +0700,37699648
2026-06-13 19:26:59.000 +0700,24135520
2026-06-13 19:26:58.000 +0700,38357200
2026-06-13 19:26:57.000 +0700,38587920
2026-06-13 19:26:56.000 +0700,38622528
2026-06-13 19:26:55.000 +0700,38587920
2026-06-13 19:26:54.000 +0700,38195696
2026-06-13 19:26:53.000 +0700,38414880
2026-06-13 19:26:52.000 +0700,38011120
2026-06-13 19:26:51.000 +0700,38403344
2026-06-13 19:26:50.000 +0700,38322592
2026-06-13 19:26:49.000 +0700,42235504
2026-06-13 19:26:48.000 +0700,38657136
2026-06-13 19:26:47.000 +0700,38760960
2026-06-13 19:26:46.000 +0700,38749424
2026-06-13 19:26:45.000 +0700,38737888
2026-06-13 19:26:44.000 +0700,38345664
2026-06-13 19:26:43.000 +0700,38437952
2026-06-13 19:26:42.000 +0700,38172624
2026-06-13 19:26:41.000 +0700,38680208
2026-06-13 19:26:40.000 +0700,38345664
2026-06-13 19:26:39.000 +0700,37815008
2026-06-13 19:26:38.000 +0700,38645600
2026-06-13 19:26:37.000 +0700,37918832
2026-06-13 19:26:36.000 +0700,38207232
2026-06-13 19:26:35.000 +0700,38357200
2026-06-13 19:26:34.000 +0700,19300096
2026-06-13 19:26:33.000 +0700,44323152
2026-06-13 19:26:32.000 +0700,38887856
2026-06-13 19:26:31.000 +0700,38426416
2026-06-13 19:26:30.000 +0700,38218768
2026-06-13 19:26:29.000 +0700,38345664
2026-06-13 19:26:28.000 +0700,38680208
2026-06-13 19:26:27.000 +0700,38311056
2026-06-13 19:26:26.000 +0700,37999584
2026-06-13 19:26:25.000 +0700,38345664
2026-06-13 19:26:24.000 +0700,38703280
2026-06-13 19:26:23.000 +0700,37976512
2026-06-13 19:26:22.000 +0700,37215136
2026-06-13 19:26:21.000 +0700,24539280
2026-06-13 19:26:20.000 +0700,38138016
2026-06-13 19:26:19.000 +0700,38507168
2026-06-13 19:26:18.000 +0700,38518704
2026-06-13 19:26:17.000 +0700,38287984
2026-06-13 19:26:16.000 +0700,38830176
2026-06-13 19:26:15.000 +0700,38518704
2026-06-13 19:26:14.000 +0700,38276448
2026-06-13 19:26:13.000 +0700,38472560
2026-06-13 19:26:12.000 +0700,38184160
2026-06-13 19:26:11.000 +0700,37630432
2026-06-13 19:26:10.000 +0700,38530240
2026-06-13 19:26:09.000 +0700,37988048
2026-06-13 19:26:08.000 +0700,38645600
2026-06-13 19:26:07.000 +0700,37641968
2026-06-13 19:26:06.000 +0700,25242976
2026-06-13 19:26:05.000 +0700,40006848
2026-06-13 19:26:04.000 +0700,40064528
2026-06-13 19:26:03.000 +0700,40006848
2026-06-13 19:26:02.000 +0700,39637696
2026-06-13 19:26:01.000 +0700,39199328
2026-06-13 19:26:00.000 +0700,39372368
2026-06-13 19:25:59.000 +0700,39187792
2026-06-13 19:25:58.000 +0700,38045728
2026-06-13 19:25:57.000 +0700,38426416
2026-06-13 19:25:56.000 +0700,38760960
2026-06-13 19:25:55.000 +0700,38680208
2026-06-13 19:25:54.000 +0700,38576384
2026-06-13 19:25:53.000 +0700,38138016
2026-06-13 19:25:52.000 +0700,38622528
2026-06-13 19:25:51.000 +0700,38126480
2026-06-13 19:25:50.000 +0700,43665968
2026-06-13 19:25:49.000 +0700,38657136
2026-06-13 19:25:48.000 +0700,38264912
2026-06-13 19:25:47.000 +0700,38264912
2026-06-13 19:25:46.000 +0700,38380272
2026-06-13 19:25:45.000 +0700,38910928
2026-06-13 19:25:44.000 +0700,38345664
2026-06-13 19:25:43.000 +0700,38610992
